,,#NAME?,,,,Dances,276,37,67,5509,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/19/22,BF-a,3,3,4,21,0,Runs around but no waggles,5,0,,,,,,,,,,,,,,
7B,7/19/22,BF-a,6,31,8,32,1,,1,9,1,7,1,,,,,,,,,,,
7B,7/19/22,BF-a,11,18,12,54,1,,,14,6,8,,,,,,,,,,,,
7B,7/19/22,BF-a,15,0,16,47,1,,,29,2,2,1,13,11,,,,,,,,,
7B,7/19/22,BF-a,18,24,20,16,1,,,24,7,3,6,2,6,,,,,,,,,
7B,7/19/22,BF-a,22,34,24,18,1,,,15,1,1,3,2,3,1,1,3,,,,,,
7B,7/19/22,BF-a,26,36,27,53,1,,,8,1,5,2,,,,,,,,,,,
7B,7/19/22,BF-a,30,40,32,20,1,,,17,3,11,3,,,,,,,,,,,
7B,7/19/22,BF-a,35,6,36,19,1,,,15,4,9,2,,,,,,,,,,,
7B,7/19/22,BF-a,39,5,40,56,1,,,36,18,11,6,1,,,,,,,,,,
7B,7/19/22,BF-a,43,15,46,4,1,had been listed as BP-a but I checked,,58,3,15,4,31,1,3,1,,,,,,,
7B,7/19/22,BF-a,48,10,50,24,1,,,44,24,12,8,,,,,,,,,,,
7B,7/19/22,BF-a,52,31,54,15,1,had been listed as BP-a but I checked,,32,12,9,3,8,0,,,,,,,,,
7B,7/19/22,BF-a,57,10,58,14,1,,,10,6,4,,,,,,,,,,,,
7B,7/19/22,BG,5,56,7,10,1,Some loops ambiguous,3,1,1,,,,,,,,,,,,,
7B,7/19/22,BG,10,3,11,15,1,,,1,1,,,,,,,,,,,,,
7B,7/19/22,BG,17,56,18,50,1,,,2,1,1,,,,,,,,,,,,
7B,7/19/22,BG,21,46,23,33,1,waggle runs all on glass near entrance,1,10,3,7,,,,,,,,,,,,
7B,7/19/22,BG,26,32,27,46,1,very subtle waggles at end of last bout,3,11,1,1,9,,,,,,,,,,,
7B,7/19/22,BG,30,17,31,52,1,,,10,10,,,,,,,,,,,,,
7B,7/19/22,BG,34,55,36,15,1,,,2,2,,,,,,,,,,,,,
7B,7/19/22,BG,38,58,40,24,1,"dance is a bit messy, ends of waggle runs not very distinct",1,26,17,4,5,,,,,,,,,,,
7B,7/19/22,BG,43,0,45,21,1,had been recorded as starting at 44:18 but she just walked by entrance then under some bees,,15,8,7,,,,,,,,,,,,
7B,7/19/22,BG,47,53,48,58,1,first bout on glass,,7,7,,,,,,,,,,,,,
7B,7/19/22,BG,55,52,56,57,1,,,7,7,,,,,,,,,,,,,
7B,7/19/22,BO,6,49,8,8,0,Runs around but no clear waggles,3,0,,,,,,,,,,,,,,
7B,7/19/22,BO,10,25,11,30,1,,2,6,1,3,2,,,,,,,,,,,
7B,7/19/22,BO,13,44,15,2,1,,,16,1,1,14,,,,,,,,,,,
7B,7/19/22,BO,18,22,19,9,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BO,21,52,23,23,1,,,34,1,7,26,,,,,,,,,,,
7B,7/19/22,BO,26,32,27,18,0,loops on glass but no waggles,2,0,,,,,,,,,,,,,,
7B,7/19/22,BO,30,6,31,24,1,,1,19,19,,,,,,,,,,,,,
7B,7/19/22,BO,34,35,35,35,1,,,19,3,16,,,,,,,,,,,,
7B,7/19/22,BO,38,5,39,16,1,,2,18,16,2,,,,,,,,,,,,
7B,7/19/22,BO,41,12,43,3,1,,,45,43,2,,,,,,,,,,,,
7B,7/19/22,BO,45,31,47,36,1,first bout on glass,,46,26,20,,,,,,,,,,,,
7B,7/19/22,BO,49,58,50,47,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BO,53,29,54,10,1,,,4,2,2,,,,,,,,,,,,
7B,7/19/22,BO,56,23,57,35,1,,,21,21,,,,,,,,,,,,,
7B,7/19/22,BP,7,11,9,5,1,"A bit messy, some runs had no obvious followers",,34,5,11,3,6,9,,,,,,,,,
7B,7/19/22,BP,10,29,12,23,1,,,51,26,4,21,,,,,,,,,,,
7B,7/19/22,BP,14,16,16,20,1,,,56,23,2,31,,,,,,,,,,,
7B,7/19/22,BP,18,20,20,53,1,,,78,15,4,21,5,1,32,,,,,,,,
7B,7/19/22,BP,22,57,24,28,1,last bout on glass + continues to entrance tube,,29,7,13,3,2,1,3,,,,,,,,
7B,7/19/22,BP,26,44,28,56,1,,,63,1,1,3,3,10,4,16,25,,,,,,
7B,7/19/22,BP,30,54,32,57,1,,,68,15,10,43,,,,,,,,,,,
7B,7/19/22,BP,35,16,37,20,1,,1,55,15,16,19,5,,,,,,,,,,
7B,7/19/22,BP,40,13,42,46,1,,,65,27,1,17,20,,,,,,,,,,
7B,7/19/22,BP,45,14,46,23,1,,,23,23,,,,,,,,,,,,,
7B,7/19/22,BP,48,52,50,37,1,,,42,5,18,19,,,,,,,,,,,
7B,7/19/22,BP,53,13,55,42,1,,,61,6,24,10,12,9,,,,,,,,,
7B,7/19/22,BP,58,51,60,43,1,,,45,9,2,3,8,18,4,1,,,,,,,
7B,7/19/22,BP-a,10,46,12,18,1,,1,19,10,9,,,,,,,,,,,,
7B,7/19/22,BP-a,23,3,24,10,1,only 1 clear waggle run,2,1,1,,,,,,,,,,,,,
7B,7/19/22,BP-a,30,36,31,46,1,,,11,1,10,,,,,,,,,,,,
7B,7/19/22,BP-a,34,33,35,24,0,some waggles but no clear circuits and direction was off,,0,,,,,,,,,,,,,,
7B,7/19/22,BP-a,37,53,38,34,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BP-a,41,13,41,48,1,danced upside down,,3,3,,,,,,,,,,,,,
7B,7/19/22,BP-a,44,14,44,49,1,,,8,8,,,,,,,,,,,,,
7B,7/19/22,BP-a,47,59,48,36,0,this really is BP-a,,0,,,,,,,,,,,,,,
7B,7/19/22,BP-a,51,25,52,31,1,,,14,1,13,,,,,,,,,,,,
7B,7/19/22,BP-a,54,56,56,14,1,,1,11,1,10,,,,,,,,,,,,
7B,7/19/22,BRR,19,28,20,27,0,runs around but no clear waggle run,1,0,,,,,,,,,,,,,,
7B,7/19/22,BRR,30,15,30,46,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BRR,33,34,34,15,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BRR,36,42,37,27,0,ran around excitedly but no waggle runs,,0,,,,,,,,,,,,,,
7B,7/19/22,BRR,40,14,41,10,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BRR,43,26,44,34,1,waggle runs on glass,,8,8,,,,,,,,,,,,,
7B,7/19/22,BRR,47,18,48,10,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BRR,51,10,51,47,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BRR,54,57,55,33,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BRR,58,5,58,54,1,,,7,7,,,,,,,,,,,,,
7B,7/19/22,BW-a,4,32,7,38,1,Some waggling between runs,3,60,5,14,1,2,1,1,9,10,2,8,7,,,
7B,7/19/22,BW-a,10,5,11,30,1,,,18,2,1,2,1,2,9,1,,,,,,,
7B,7/19/22,BW-a,19,17,20,27,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BWW,42,34,43,48,0,head/thorax inside a cell the entire time,,0,,,,,,,,,,,,,,
7B,7/19/22,BWW,46,38,58,4,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BWW,50,33,63,50,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/19/22,BY-a,27,42,28,24,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BY-a,31,58,32,57,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BY-a,45,3,45,51,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BY-a,49,45,50,24,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,BY-a,53,47,54,28,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FF-a,10,3,11,0,0,"Loop somewhat ambiguous, but I don't think it can be counted as a waggle run",1,0,,,,,,,,,,,,,,
7B,7/19/22,FF-a,17,12,17,59,1,"a bit ambiguous again, but I think this really was a waggle run based on her movements afterwards",,1,1,,,,,,,,,,,,,
7B,7/19/22,FF-a,29,10,30,18,1,,,12,3,8,1,,,,,,,,,,,
7B,7/19/22,FF-a,32,33,33,5,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FF-a,35,30,36,42,1,,,21,20,1,,,,,,,,,,,,
7B,7/19/22,FF-a,39,23,40,18,1,,,3,3,,,,,,,,,,,,,
7B,7/19/22,FF-a,43,3,44,7,1,,,15,15,,,,,,,,,,,,,
7B,7/19/22,FF-a,46,34,47,23,1,,,1,1,,,,,,,,,,,,,
7B,7/19/22,FF-a,50,15,51,23,1,Originally recorded as RF-a,,12,12,,,,,,,,,,,,,
7B,7/19/22,FF-a,54,11,54,38,1,,,2,2,,,,,,,,,,,,,
7B,7/19/22,FF-a,57,8,57,35,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FFP,11,4,13,19,1,,,14,2,2,1,2,1,3,2,1,,,,,,
7B,7/19/22,FFP,16,37,20,15,1,spends a very long time with her head/thorax inside a cell,,16,2,6,6,2,,,,,,,,,,
7B,7/19/22,FFP,23,11,25,22,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FFP,28,51,31,6,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FFP,34,33,41,18,0,spent most of the time inside one wax cell,,0,,,,,,,,,,,,,,
7B,7/19/22,FFP,44,10,51,23,0,spent a very long time inside a cell,,0,,,,,,,,,,,,,,
7B,7/19/22,FFP,54,34,55,51,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FFP,58,45,59,52,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FGG,7,58,10,4,1,,2,36,11,4,1,1,1,1,1,7,1,1,1,6,,
7B,7/19/22,FGG,13,24,15,8,1,,1,34,12,22,,,,,,,,,,,,
7B,7/19/22,FGG,35,15,37,20,1,,1,55,55,,,,,,,,,,,,,
7B,7/19/22,FGG,39,48,42,11,1,,,66,11,3,2,1,10,4,4,8,2,21,,,,
7B,7/19/22,FGG,45,25,46,18,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FGG,49,5,50,10,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FGG,53,26,53,56,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FGG,56,37,57,28,1,waggle runs on glass,,2,2,,,,,,,,,,,,,
7B,7/19/22,FO-a,18,26,19,39,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FO-a,38,12,39,0,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FR,8,1,9,19,1,Some loops ambiguous,3,12,2,3,3,3,1,,,,,,,,,
7B,7/19/22,FR,11,31,12,44,1,,,16,1,15,,,,,,,,,,,,
7B,7/19/22,FR,28,0,30,0,1,,,36,1,6,3,8,1,9,7,1,,,,,,
7B,7/19/22,FR,32,49,33,14,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FR,35,46,36,36,1,,,8,8,,,,,,,,,,,,,
7B,7/19/22,FR,39,43,41,16,1,,,29,13,16,,,,,,,,,,,,
7B,7/19/22,FR,44,43,45,32,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FR,48,44,49,37,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FR,56,56,57,31,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FR-a,33,48,34,32,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FR-a,39,59,41,47,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FR-a,49,8,50,23,1,,,16,7,7,2,,,,,,,,,,,
7B,7/19/22,FR-a,53,34,56,32,1,,,58,11,1,5,3,11,11,11,1,4,,,,,
7B,7/19/22,FY,16,16,17,22,1,,,13,1,2,5,5,,,,,,,,,,
7B,7/19/22,FY,19,31,20,56,1,last 2 bouts on glass near entrance,1,12,1,3,1,1,1,1,3,1,,,,,,
7B,7/19/22,FY,23,48,24,23,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FY,26,34,27,56,1,,,21,21,,,,,,,,,,,,,
7B,7/19/22,FY,31,17,31,51,0,,,0,,,,,,,,,,,,,,
