,,#NAME?,,,,Dances,276,37,67,5509,,,,,,,,,,,,,,
7B,7/19/22,FY,34,20,35,4,1,,,2,2,,,,,,,,,,,,,
7B,7/19/22,FY,37,34,40,44,1,,,93,29,8,31,25,,,,,,,,,,
7B,7/19/22,FY,43,27,44,8,0,some loops,2,0,,,,,,,,,,,,,,
7B,7/19/22,FY,46,21,48,19,1,,,41,41,,,,,,,,,,,,,
7B,7/19/22,FY,51,29,53,55,1,,,66,24,7,21,2,10,2,,,,,,,,
7B,7/19/22,FY,56,35,58,43,1,last bout on glass,,56,34,16,6,,,,,,,,,,,
7B,7/19/22,FYR,3,55,5,16,1,Some circuits uncertain but most clearly lack a waggle run,10,2,1,1,,,,,,,,,,,,
7B,7/19/22,FYR,8,37,10,33,1,Some odd direction reversals,,28,9,1,1,8,9,,,,,,,,,
7B,7/19/22,FYR,13,57,15,30,1,Some loops a bit ambiguous,2,13,1,12,,,,,,,,,,,,
7B,7/19/22,FYR,18,44,20,23,1,,1,5,5,,,,,,,,,,,,,
7B,7/19/22,FYR,23,7,23,55,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FYR,26,51,28,8,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FYR,34,28,35,13,1,,,3,3,,,,,,,,,,,,,
7B,7/19/22,FYR,37,34,38,13,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FYR,41,39,43,27,1,,,27,3,7,4,13,,,,,,,,,,
7B,7/19/22,FYR,46,26,47,13,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FYR,49,58,51,22,1,had been recorded as FY w/ different exit time and no waggle runs but I can't find FY during this period,,20,1,7,1,11,,,,,,,,,,
7B,7/19/22,FYR,55,1,57,10,1,,,43,4,14,25,,,,,,,,,,,
7B,7/19/22,FYY,11,17,13,35,1,,,17,2,3,6,1,3,1,1,,,,,,,
7B,7/19/22,FYY,17,39,18,18,0,,1,0,,,,,,,,,,,,,,
7B,7/19/22,FYY,21,28,23,59,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FYY,30,59,31,51,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FYY,34,38,36,31,1,,,32,3,10,19,,,,,,,,,,,
7B,7/19/22,FYY,38,46,39,47,1,,,13,1,12,,,,,,,,,,,,
7B,7/19/22,FYY,43,7,44,9,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FYY,47,41,48,16,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,FYY,56,19,57,14,0,brief waggle but no one was following,1,0,,,,,,,,,,,,,,
7B,7/19/22,GGW,5,55,6,52,0,Runs around but no waggles,3,0,,,,,,,,,,,,,,
7B,7/19/22,GGW,20,10,21,11,1,,,3,2,1,,,,,,,,,,,,
7B,7/19/22,GGW,25,54,26,58,1,some loops without clear waggles,2,4,4,,,,,,,,,,,,,
7B,7/19/22,GGW,31,0,32,48,1,,,39,1,2,2,34,,,,,,,,,,
7B,7/19/22,GGW,36,30,37,26,1,,,4,1,1,2,,,,,,,,,,,
7B,7/19/22,GGW,40,18,42,13,1,,,49,3,4,32,10,,,,,,,,,,
7B,7/19/22,GGW,46,25,47,9,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,GGW,50,17,51,9,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,GGW,54,31,56,11,1,,,34,16,18,,,,,,,,,,,,
7B,7/19/22,GO,4,21,5,32,1,,1,10,1,4,5,,,,,,,,,,,
7B,7/19/22,GO,11,55,12,53,1,,,6,6,,,,,,,,,,,,,
7B,7/19/22,GO,15,16,16,5,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,GO,21,14,22,25,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,GO,28,41,29,38,1,,,6,6,,,,,,,,,,,,,
7B,7/19/22,GO,32,16,33,4,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,GO,35,55,37,20,1,,,22,22,,,,,,,,,,,,,
7B,7/19/22,GO,39,32,40,30,1,,,7,4,1,2,,,,,,,,,,,
7B,7/19/22,GO,43,30,44,16,0,not in doc,,0,,,,,,,,,,,,,,
7B,7/19/22,GO,46,53,48,32,1,,,29,29,,,,,,,,,,,,,
7B,7/19/22,GO,51,7,52,33,1,,,25,2,23,,,,,,,,,,,,
7B,7/19/22,GO,55,25,56,58,1,,,26,26,,,,,,,,,,,,,
7B,7/19/22,GO,59,28,60,58,1,,,28,3,4,11,9,1,,,,,,,,,
7B,7/19/22,GP,8,46,12,39,1,Almost looks like a tremble dance except that most pronounced waggles are always in the 11 o'clock direction (like the other dances for that array),9,20,3,4,1,4,4,1,1,2,,,,,,
7B,7/19/22,GP,15,27,22,10,0,tremble dance (mostly not recording tremble dances but this bee performs very tight loops in her tremble dance that make it look more like a waggle dance),,0,,,,,,,,,,,,,,
7B,7/19/22,GP,26,17,26,57,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,GP,37,51,38,41,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,GP,41,38,43,11,0,"had been recorded as 2 waggle runs, and I can see why but overall it looks like a tremble dance (too much shaking in random directions)",,0,,,,,,,,,,,,,,
7B,7/19/22,GP,46,19,46,56,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,GP,49,15,50,0,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,GP,52,52,53,32,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,GP-a,4,54,6,28,1,Some loops ambiguous,4,11,3,8,,,,,,,,,,,,
7B,7/19/22,GP-a,8,49,10,22,1,,1,6,1,5,,,,,,,,,,,,
7B,7/19/22,GP-a,12,41,14,15,1,,,25,1,1,8,9,6,,,,,,,,,
7B,7/19/22,GP-a,16,56,19,14,1,starts dancing far to left,,45,24,21,,,,,,,,,,,,
7B,7/19/22,GP-a,21,39,22,56,1,,,22,9,8,5,,,,,,,,,,,
7B,7/19/22,GP-a,29,10,30,24,1,,,22,22,,,,,,,,,,,,,
7B,7/19/22,GP-a,33,3,33,49,1,,,8,8,,,,,,,,,,,,,
7B,7/19/22,GP-a,36,36,38,37,1,,,54,8,12,18,16,,,,,,,,,,
7B,7/19/22,GP-a,40,56,42,20,1,"originally only second loop through hive recorded, has her head/thorax inside a cell on second loop through hive",,7,7,,,,,,,,,,,,,
7B,7/19/22,GP-a,48,39,49,22,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,GP-a,59,21,60,38,1,,,27,4,1,1,21,,,,,,,,,,
7B,7/19/22,GY,23,26,25,49,1,,,11,2,8,1,,,,,,,,,,,
7B,7/19/22,GY,29,58,,,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/19/22,GY,42,20,47,21,0,,5,0,,,,,,,,,,,,,,
7B,7/19/22,GY,49,58,52,32,1,,,21,12,7,2,,,,,,,,,,,
7B,7/19/22,GY,54,46,57,19,1,,,68,25,15,2,2,12,3,9,,,,,,,
7B,7/19/22,GY,59,50,61,58,1,,,47,3,6,1,37,,,,,,,,,,
7B,7/19/22,OB,12,31,14,17,1,,4,7,1,3,3,,,,,,,,,,,
7B,7/19/22,OB,17,16,18,27,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OB,21,23,23,30,0,ran around but seemed to have hard time finding unloaders,,0,,,,,,,,,,,,,,
7B,7/19/22,OB,26,53,27,59,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OB,30,39,31,17,1,,,3,3,,,,,,,,,,,,,
7B,7/19/22,OB,33,53,35,18,1,,,28,28,,,,,,,,,,,,,
7B,7/19/22,OB,38,27,39,38,1,,,24,8,15,1,,,,,,,,,,,
7B,7/19/22,OB,42,52,44,25,1,,,23,8,12,3,,,,,,,,,,,
7B,7/19/22,OB,47,10,48,59,0,had only recorded second loop through hive originally,,0,,,,,,,,,,,,,,
7B,7/19/22,OB,52,45,53,12,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OB,56,46,58,15,1,,,21,1,20,,,,,,,,,,,,
7B,7/19/22,OP-a,26,44,27,50,1,last 2 runs were a little ambiguous,,3,1,2,,,,,,,,,,,,
7B,7/19/22,OP-a,34,50,36,5,1,,,20,6,3,11,,,,,,,,,,,
7B,7/19/22,OP-a,38,37,39,38,1,,,4,1,3,,,,,,,,,,,,
7B,7/19/22,OP-a,42,52,43,50,1,,,4,4,,,,,,,,,,,,,
7B,7/19/22,OP-a,46,42,47,22,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OP-a,50,27,51,11,1,,,1,1,,,,,,,,,,,,,
7B,7/19/22,OP-a,53,52,55,2,1,,,12,1,11,,,,,,,,,,,,
7B,7/19/22,OP-a,58,26,59,36,1,,,10,7,3,,,,,,,,,,,,
7B,7/19/22,OW,22,56,24,0,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OW,27,10,28,30,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OW,35,11,36,31,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OW,40,13,40,52,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OW,44,18,45,32,1,,,14,1,10,3,,,,,,,,,,,
7B,7/19/22,OW,48,11,49,20,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OW,52,27,53,8,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OW,56,42,57,24,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OWW,18,37,20,37,0,Lost her white mark on the thorax but I'm pretty confident of ID,,0,,,,,,,,,,,,,,
7B,7/19/22,OWW,33,14,34,13,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OWW,37,32,38,26,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OWW,40,55,41,41,0,not in doc,,0,,,,,,,,,,,,,,
7B,7/19/22,OWW,44,53,45,44,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OWW,48,40,49,34,0,picture added to doc,,0,,,,,,,,,,,,,,
7B,7/19/22,OWW,52,53,53,42,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,OWW,56,50,57,41,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PBB,16,58,18,21,0,Runs around and almost starts to waggle on glass,1,0,,,,,,,,,,,,,,
7B,7/19/22,PBB,23,9,25,19,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PBB,30,6,31,21,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PBB,35,39,37,26,1,,,10,10,,,,,,,,,,,,,
7B,7/19/22,PBB,41,19,41,57,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/19/22,PBB,46,6,47,7,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PBB,50,50,51,57,1,,,2,2,,,,,,,,,,,,,
7B,7/19/22,PBB,54,56,56,3,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PBB,59,40,60,34,1,,1,11,11,,,,,,,,,,,,,
7B,7/19/22,PF,24,33,28,56,0,"tremble dance, first part on glass",,0,,,,,,,,,,,,,,
7B,7/19/22,PF,31,34,,,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/19/22,PF,36,28,41,30,0,"tremble dance, started on glass",,0,,,,,,,,,,,,,,
7B,7/19/22,PF,44,15,48,8,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PF,51,8,54,13,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/19/22,PF,56,39,59,20,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/19/22,PG,26,23,27,30,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PG,30,11,31,20,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PG,33,38,34,53,1,,,9,4,1,2,1,1,,,,,,,,,
7B,7/19/22,PG,37,14,38,3,1,,,12,12,,,,,,,,,,,,,
7B,7/19/22,PG,40,47,41,35,1,,,11,2,9,,,,,,,,,,,,
7B,7/19/22,PG,44,9,45,9,1,,,18,2,3,13,,,,,,,,,,,
7B,7/19/22,PG,48,2,49,40,1,,,39,18,8,13,,,,,,,,,,,
7B,7/19/22,PG,52,13,54,3,1,,,40,2,2,8,7,2,19,,,,,,,,
7B,7/19/22,PG,56,20,57,13,1,second bout was on glass very near entrance (possibly more circuits as she exited?),,10,1,9,,,,,,,,,,,,
7B,7/19/22,PG,59,44,61,20,1,first waggle runs a bit messy,2,37,3,1,1,3,2,15,12,,,,,,,
7B,7/19/22,PGG,7,0,7,54,0,Runs around but no clear waggles,2,0,,,,,,,,,,,,,,
7B,7/19/22,PGG,22,14,23,3,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PGG,34,18,35,15,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PGG,43,50,44,54,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PGG,48,24,49,22,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PGG,52,41,53,38,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PO,18,1,19,11,0,head/thorax in cell for a long time,,0,,,,,,,,,,,,,,
7B,7/19/22,PO,39,20,40,17,1,,,4,4,,,,,,,,,,,,,
7B,7/19/22,PO,47,13,48,8,1,there was some confusion between this bee and POO who was in the hive at about the same time,,9,1,8,,,,,,,,,,,,
7B,7/19/22,PO,50,58,51,55,1,Seems to have been a mix-up between this bee and POO (fixed),,8,8,,,,,,,,,,,,,
7B,7/19/22,PO,59,48,60,35,1,,,1,1,,,,,,,,,,,,,
7B,7/19/22,PO-a,34,50,36,5,1,,,20,6,3,11,,,,,,,,,,,
7B,7/19/22,PO-a,42,32,43,23,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PO-a,46,40,47,21,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PO-a,50,34,51,30,1,,,1,1,,,,,,,,,,,,,
7B,7/19/22,PO-a,54,26,55,49,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PO-a,59,9,60,0,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,POO,10,22,11,27,1,,,2,2,,,,,,,,,,,,,
7B,7/19/22,POO,22,2,23,5,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,POO,26,8,26,46,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,POO,29,24,30,2,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,POO,32,42,33,29,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,POO,36,25,37,28,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,POO,40,23,41,0,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,POO,43,50,44,30,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,POO,47,9,47,42,0,"originally recorded as PO, but was really POO",,0,,,,,,,,,,,,,,
7B,7/19/22,POO,50,27,51,9,0,there was some confusion between this bee and PO who was in the hive at about the same time,,0,,,,,,,,,,,,,,
7B,7/19/22,POO,54,20,54,53,0,"recorded as PO, but was really POO",,0,,,,,,,,,,,,,,
7B,7/19/22,POO,57,48,58,39,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PR,7,30,8,35,1,,,5,5,,,,,,,,,,,,,
7B,7/19/22,PR,31,19,32,0,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PR,35,34,36,30,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PR,39,47,40,27,0,,,0,,,,,,,,,,,,,,
7B,7/19/22,PR,43,25,44,55,1,,,18,14,4,,,,,,,,,,,,
7B,7/19/22,PR,44,43,45,33,0,,,0,,,,,,,,,,,,,,
