,,#NAME?,,,,Dances,157,10,31,2396,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/20/22,FF-a,59,35,60,32,1,,,5,5,,,,,,,,,,,,,
7B,7/20/22,FFP,16,52,20,5,1,,1,32,1,9,1,3,6,8,1,3,,,,,,
7B,7/20/22,FFP,22,13,22,58,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FFP,26,8,31,40,1,she spent several minutes inside of a cell (drinking honey?),,5,2,3,,,,,,,,,,,,
7B,7/20/22,FFP,34,42,38,37,1,,,45,3,36,6,,,,,,,,,,,
7B,7/20/22,FFP,41,5,46,53,0,spent a really long time with head in a cell,,0,,,,,,,,,,,,,,
7B,7/20/22,FFP,49,36,51,3,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FFP,53,8,56,2,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FFP,58,4,63,42,0,spent a long time in a cell,,0,,,,,,,,,,,,,,
7B,7/20/22,FGG,16,3,17,32,1,"first bout on glass, very subtle waggles but seems consistent",,8,7,1,,,,,,,,,,,,
7B,7/20/22,FGG,20,13,21,25,0,ran around excitedly but no clear waggle run,,0,,,,,,,,,,,,,,
7B,7/20/22,FGG,27,59,29,22,1,,2,6,4,2,,,,,,,,,,,,
7B,7/20/22,FGG,34,53,36,14,1,,,28,1,27,,,,,,,,,,,,
7B,7/20/22,FGG,38,46,39,38,1,,,1,1,,,,,,,,,,,,,
7B,7/20/22,FGG,42,47,43,57,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FGG,50,3,51,25,1,,,14,1,3,10,,,,,,,,,,,
7B,7/20/22,FGG,54,18,56,13,1,,,47,37,10,,,,,,,,,,,,
7B,7/20/22,FGG,59,7,60,47,1,all but last 3 bouts on glass,,41,4,6,2,6,2,21,,,,,,,,
7B,7/20/22,FO-a,30,7,32,9,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FO-a,52,2,52,56,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FR,11,22,12,29,1,,1,9,6,3,,,,,,,,,,,,
7B,7/20/22,FR,32,42,33,50,1,,,5,3,2,,,,,,,,,,,,
7B,7/20/22,FR,39,23,39,59,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FR,45,32,46,8,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FR,52,49,53,55,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FY,13,34,14,40,1,somewhat ambiguous waggle runs,,5,5,,,,,,,,,,,,,
7B,7/20/22,FY,19,15,20,12,1,,,11,11,,,,,,,,,,,,,
7B,7/20/22,FY,24,53,25,56,1,,1,1,1,,,,,,,,,,,,,
7B,7/20/22,FY,31,10,32,5,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FY,37,57,38,38,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FY,43,0,43,35,0,recorded as PY but only FY came in during this time,,0,,,,,,,,,,,,,,
7B,7/20/22,FY,48,31,49,32,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FY,55,18,56,34,1,,,13,13,,,,,,,,,,,,,
7B,7/20/22,PY-a,20,26,21,57,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FYR,12,41,14,14,0,ran around excitedly but no clear waggle runs,3,0,,,,,,,,,,,,,,
7B,7/20/22,FYR,20,30,21,30,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FYR,28,37,29,33,1,,,1,1,,,,,,,,,,,,,
7B,7/20/22,FYR,37,6,38,7,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FYR,46,52,48,21,1,,,8,8,,,,,,,,,,,,,
7B,7/20/22,FYR,55,12,56,13,0,,,0,,,,,,,,,,,,,,
