,,#NAME?,,,,Dances,157,10,31,2396,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/20/22,RF,26,21,27,47,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RF,32,42,33,50,1,,1,4,2,2,,,,,,,,,,,,
7B,7/20/22,RF,40,15,40,56,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RF,47,10,48,19,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RF,54,46,55,40,1,,1,2,2,,,,,,,,,,,,,
7B,7/20/22,RO,11,8,12,18,1,,2,2,1,1,,,,,,,,,,,,
7B,7/20/22,RO,16,27,17,12,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RO,22,0,22,37,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RO,27,35,28,7,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RO,32,41,33,25,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RO,37,44,38,29,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RO,42,55,43,31,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RO,48,5,48,51,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RO,53,28,53,58,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RO,58,27,59,10,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RWR,13,20,16,18,0,turns around several times but always seemingly to follow a dancer,,0,,,,,,,,,,,,,,
7B,7/20/22,RWR,26,9,26,45,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RWR,40,50,41,21,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RWR,55,15,55,56,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WGG,12,51,14,13,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WGG,17,18,19,12,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WGG,23,15,24,8,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WGG,28,37,29,27,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WGG,32,57,34,19,1,,,12,1,1,1,9,,,,,,,,,,
7B,7/20/22,WGG,37,23,38,41,1,,1,17,1,3,5,4,4,,,,,,,,,
7B,7/20/22,WGG,41,15,42,4,1,,,2,2,,,,,,,,,,,,,
7B,7/20/22,WGG,45,0,46,14,1,,,17,17,,,,,,,,,,,,,
7B,7/20/22,WGG,49,2,49,34,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WGG,52,31,53,25,1,,,11,1,10,,,,,,,,,,,,
7B,7/20/22,WGG,56,14,57,11,1,,,12,7,4,1,,,,,,,,,,,
7B,7/20/22,WGG,59,47,60,57,1,,,21,1,3,17,,,,,,,,,,,
7B,7/20/22,WGR,9,50,12,20,1,,3,22,1,1,11,3,2,3,1,,,,,,,
7B,7/20/22,WGR,17,30,18,5,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WGR,22,17,23,23,0,,1,0,,,,,,,,,,,,,,
7B,7/20/22,WGR,29,6,30,8,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WGR,34,43,35,34,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WGR,40,45,41,25,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WGR,46,9,46,48,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WGR,51,58,52,40,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WGR,57,39,58,18,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOO,12,43,13,41,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOO,17,27,18,14,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOO,27,53,28,44,1,some ambiguous circuits,2,4,4,,,,,,,,,,,,,
7B,7/20/22,WOO,34,8,34,59,1,,,3,3,,,,,,,,,,,,,
7B,7/20/22,WOO,40,17,40,57,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOO,46,15,46,48,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOO,53,17,54,3,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOO,58,36,59,23,0,ran around excitedly but no clear waggle runs,,0,,,,,,,,,,,,,,
7B,7/20/22,WOY,11,22,12,13,1,somewhat ambiguous but there appeared to be a waggle,,1,1,,,,,,,,,,,,,
7B,7/20/22,WOY,17,22,18,4,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOY,22,37,23,31,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOY,28,36,29,16,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOY,34,23,34,54,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOY,39,41,40,18,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOY,45,26,45,56,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOY,46,15,46,48,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOY,51,4,51,42,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WOY,56,38,57,31,1,,,2,2,,,,,,,,,,,,,
7B,7/20/22,WR,38,44,43,1,1,,,123,2,11,24,32,5,14,1,23,9,1,1,,,
7B,7/20/22,WR,46,1,49,14,1,,,96,5,5,10,40,4,10,14,8,,,,,,
7B,7/20/22,WR,52,24,56,32,1,,,129,10,2,50,23,11,17,16,,,,,,,
7B,7/20/22,WR-a,23,28,24,23,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WR-a,29,13,30,7,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WR-a,34,7,34,50,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WR-a,40,47,40,56,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WR-a,46,1,46,45,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WR-a,51,38,52,24,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WR-a,56,44,57,30,1,,,1,1,,,,,,,,,,,,,
7B,7/20/22,WRR,20,4,21,6,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WRR,38,36,39,12,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WRR,59,32,60,39,1,,,8,6,2,,,,,,,,,,,,
7B,7/20/22,WY,12,20,14,0,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WY,16,4,17,42,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WY,25,18,28,32,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/20/22,WY,31,10,32,37,0,head in a cell for quite a while,,0,,,,,,,,,,,,,,
7B,7/20/22,WY,35,9,36,49,0,almost a tremble dance,,0,,,,,,,,,,,,,,
7B,7/20/22,WY,39,45,41,18,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WY,44,0,44,54,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WY,48,6,49,35,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WY,52,44,54,23,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WY,57,4,58,7,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,WY-a,8,49,9,59,1,some ambiguous loops earlier,,4,4,,,,,,,,,,,,,
7B,7/20/22,WY-a,10,25,11,2,1,somewhat ambiguous but there seems to be a subtle waggle,,1,1,,,,,,,,,,,,,
7B,7/20/22,WY-a,13,17,14,26,1,,1,6,6,,,,,,,,,,,,,
7B,7/20/22,WY-a,17,3,18,36,1,,1,10,1,6,3,,,,,,,,,,,
7B,7/20/22,WY-a,21,27,22,51,1,,,3,1,2,,,,,,,,,,,,
7B,7/20/22,WY-a,25,38,26,55,1,,,11,4,5,1,1,,,,,,,,,,
7B,7/20/22,WY-a,30,17,33,36,1,,,79,3,8,15,15,20,18,,,,,,,,
7B,7/20/22,WY-a,36,49,38,43,1,,,35,1,7,23,3,1,,,,,,,,,
7B,7/20/22,WY-a,41,45,42,48,0,do you mean WY-a? She doesn't dance and leaves at 42:48,,0,,,,,,,,,,,,,,
7B,7/20/22,WY-a,45,50,47,44,1,,,42,9,1,3,22,7,,,,,,,,,
7B,7/20/22,WY-a,50,51,52,17,1,,,22,2,20,,,,,,,,,,,,
7B,7/20/22,WY-a,55,41,58,54,1,,,80,14,1,32,33,,,,,,,,,,
7B,7/20/22,YB,5,28,6,54,0,turns around a few times but no clear waggle run,,0,,,,,,,,,,,,,,
7B,7/20/22,YB,10,21,11,21,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YB,15,12,16,15,0,runs around excitedly but no clear waggle runs,,0,,,,,,,,,,,,,,
7B,7/20/22,YB,20,43,22,27,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YB,26,0,27,15,1,excited runs but only one circuit that seemed to have a waggle run,1,1,1,,,,,,,,,,,,,
7B,7/20/22,YB,30,22,31,29,1,,,14,7,7,,,,,,,,,,,,
7B,7/20/22,YB,36,3,37,21,1,,,16,10,6,,,,,,,,,,,,
7B,7/20/22,YB,41,46,42,30,1,,,1,1,,,,,,,,,,,,,
7B,7/20/22,YB,46,19,47,7,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YB,51,44,52,35,0,,2,0,,,,,,,,,,,,,,
7B,7/20/22,YB,57,9,57,54,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YF,8,12,8,57,0,looked excited but no clear waggle run or circuit,,0,,,,,,,,,,,,,,
7B,7/20/22,YF,14,48,15,42,1,,,1,1,,,,,,,,,,,,,
7B,7/20/22,YF,19,41,21,0,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YF,25,51,26,40,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YF,31,21,31,53,0,,1,0,,,,,,,,,,,,,,
7B,7/20/22,YF,37,18,38,9,1,,,8,6,2,,,,,,,,,,,,
7B,7/20/22,YF,43,35,45,7,1,,,28,22,6,,,,,,,,,,,,
7B,7/20/22,YF,50,13,51,40,1,,,29,3,26,,,,,,,,,,,,
7B,7/20/22,YF,56,59,58,28,1,,,37,5,8,24,,,,,,,,,,,
7B,7/20/22,YO-a,15,2,15,55,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YO-a,18,47,19,33,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YO-a,27,44,28,51,1,somewhat ambiguous but it looked like she waggled and performed a full circuit,,1,1,,,,,,,,,,,,,
7B,7/20/22,YO-a,32,14,33,9,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YO-a,36,51,37,36,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YO-a,40,59,42,16,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YO-a,45,45,46,32,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YO-a,49,37,50,24,1,,,3,3,,,,,,,,,,,,,
7B,7/20/22,YP-a,27,52,29,12,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YP-a,35,7,36,24,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YP-a,41,25,42,14,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YP-a,46,3,46,54,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YP-a,50,43,51,42,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YP-a,56,18,57,16,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,YPY,6,6,7,5,0,somewhat ambiguous circuits,2,0,,,,,,,,,,,,,,
7B,7/20/22,YPY,49,58,50,6,0,,,0,,,,,,,,,,,,,,
