Order_entered,Colony,Date,location,scent,Dance_no,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
19,C,6/16/22,South,Clove,1,_B-a,92,0,,,1,round dance? not sure,,21,21,,,,,,,,,,,,,
24,C,6/16/22,South,Clove,2,_B-a,100,0,,,1,,,12,12,,,,,,,,,,,,,
29,C,6/16/22,South,Clove,1,BB-a,112,0,,,1,,,8,8,,,,,,,,,,,,,
2,C,6/16/22,North,Peppermint,1,BF,52,0,,,1,,,22,1,12,9,,,,,,,,,,,
4,C,6/16/22,North,Peppermint,2,BF,66,0,,,1,,,14,6,8,,,,,,,,,,,,
15,C,6/16/22,North,Peppermint,3,BF,84,0,,,1,,,4,4,,,,,,,,,,,,,
21,C,6/16/22,North,Peppermint,4,BF,96,0,,,1,,,13,13,,,,,,,,,,,,,
25,C,6/16/22,North,Peppermint,5,BF,104,0,,,1,,,8,8,,,,,,,,,,,,,
32,C,6/16/22,North,Peppermint,6,BF,117,0,,,1,,,6,6,,,,,,,,,,,,,
7,C,6/16/22,South,Clove,1,BO-a,70,0,,,1,,,3,3,,,,,,,,,,,,,
11,C,6/16/22,South,Clove,2,BO-a,76,0,,,1,,,15,12,1,2,,,,,,,,,,,
14,C,6/16/22,South,Clove,3,BO-a,84,0,,,1,,,11,11,,,,,,,,,,,,,
18,C,6/16/22,South,Clove,4,BO-a,92,0,,,1,,,33,3,20,10,,,,,,,,,,,
26,C,6/16/22,South,Clove,5,BO-a,106,0,,,1,,,10,1,9,,,,,,,,,,,,
31,C,6/16/22,South,Clove,6,BO-a,116,0,,,1,Goes behind viewing glass briefly,,9,3,6,,,,,,,,,,,,
5,C,6/16/22,North,Peppermint,1,BP,68,0,,,1,,,7,7,,,,,,,,,,,,,
8,C,6/16/22,North,Peppermint,2,BP,73,0,,,1,,,17,3,14,,,,,,,,,,,,
17,C,6/16/22,South,Clove,1,BR,89,0,,,1,,,15,1,14,,,,,,,,,,,,
10,C,6/16/22,South,Clove,1,FR-a,76,0,,,1,,,3,3,,,,,,,,,,,,,
6,C,6/16/22,South,Clove,1,GG-a,70,0,,,1,,,2,2,,,,,,,,,,,,,
22,C,6/16/22,North,Peppermint,1,GR-a,98,0,,,1,,,28,14,14,,,,,,,,,,,,
30,C,6/16/22,North,Peppermint,2,GR-a,113,0,,,1,,,18,1,15,2,,,,,,,,,,,
28,C,6/16/22,North,Peppermint,1,GW,112,0,,,1,,,5,5,,,,,,,,,,,,,
12,C,6/16/22,South,Clove,1,OP-a,79,0,,,1,,,1,1,,,,,,,,,,,,,
16,C,6/16/22,South,Clove,2,OP-a,88,0,,,1,,,5,1,1,1,2,,,,,,,,,,
23,C,6/16/22,South,Clove,3,OP-a,99,0,,,1,,,7,1,3,2,1,,,,,,,,,,
1,C,6/16/22,North,Peppermint,1,RB,35,0,,,1,,,3,3,,,,,,,,,,,,,
3,C,6/16/22,North,Peppermint,2,RB,56,0,,,1,,,11,11,,,,,,,,,,,,,
13,C,6/16/22,North,Peppermint,3,RB,81,0,,,1,,,4,4,,,,,,,,,,,,,
27,C,6/16/22,North,Peppermint,4,RB,107,0,,,1,,,33,23,7,3,,,,,,,,,,,
9,C,6/16/22,North,Peppermint,1,WB,74,0,,,1,,,7,7,,,,,,,,,,,,,
20,C,6/16/22,North,Peppermint,2,WB,96,0,,,1,,,7,3,4,,,,,,,,,,,,
