Date: 07/20/22,*watched up to 60:00,North,Peppermint,Person: Angela/Morgan,9 Low-density Trays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# unique bees visited:,42,18,13,22,16,13,19,0,0,0,26,19,19,22,0,1,10,26,18,0,0,9,17,0,0,14,16,20,22,20,0,21,9,0,14,21,14,0,20,15,21,15,17,0,3,16,15,1,0,20,0,22,24,20,15,1,16,7,11,
Time_interval,Vid_time_interval,RF,FF-a,RWR,RO,ROG,RB,RPP,OP,OP-a,OB,OF-a,OW,YB,YG,YP,YP-a,YPY,YF,GW,GR,GP,GP-a,GO,GF,GY,BP,BP-a,BG,BF-a,BO,BRR,BWW,PF-big,PF,PG,PY-v,PY-u,PYY,PRR,POO,PG-a,PGG,WF,WR,WR-a,WRR,WO-a,WGO,WGR,WGY,WOO,WOY,FR,FY,FW,FYR,G_,Recruits:,Notes:
10:09,0:29,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,1,,1,,1,,,,,,,1,,,,1,,,,1,,,,,,1,,,,,,,
10:10,0:30,1,,1,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,1,,1,,,,,,,1,1,,,,,,1,,,,1,,,,1,,,,,,
10:11,0:31,,1,1,1,1,,,,,1,,,,,,1,,,,,,1,,,1,1,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,1,,,
10:12,0:32,,,1,,,1,,,,,1,,1,,,1,1,1,,,,,,,1,,,1,1,,1,,,,,1,,1,,1,,,,,,,,,1,,1,,1,1,,,,,
10:13,0:33,,,,,,,,,,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
10:14,0:34,1,,1,1,,1,,,,1,,,1,,,,,,,,,,,,,,1,1,1,,1,,,,1,1,,1,,1,1,1,,,,,,,,,,,1,,,,,,
10:15,0:35,1,,1,,,,,,,1,1,,1,,,,,,,,,1,,,1,1,1,1,,,,,,1,,,,1,1,,,,,,1,,,,,,1,1,,1,,,,,
10:16,0:36,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,1,,1,1,,,,,,,
10:17,0:37,,1,1,,1,1,,,,,,1,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,1,,1,1,1,,,,,,,1,,1,1,,,,,,,
10:18,0:38,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,1,,2,
10:19,0:39,1,,1,1,,,,,,1,1,1,1,,,,,1,,,,1,,,1,,,1,,,1,,,,1,,,,,1,,,,,,,,,,,1,,,,,1,,,
10:20,0:40,,,,,,1,,,,1,1,,1,,,1,,,,,,,,,,1,,1,1,,,1,,,,1,,,1,,1,,,,,,,,,,,,1,,,1,,,
10:21,0:41,1,,,1,1,,,,,,1,,,,,,1,1,,,,,,,,1,1,,,,,,,1,1,,,1,,,,,,,1,,,,1,,1,1,1,,,,,,
10:22,0:42,1,,,,,1,,,,1,,,1,,,1,1,1,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,
10:23,0:43,,1,1,1,,,,,,1,,1,,,,1,1,,,,,,,,1,,1,1,1,,,,,,1,,,1,,1,1,1,,1,,1,,,,,1,1,,,,,,,
10:24,0:44,,,,,1,1,,,,,,1,1,,,,1,,,,,,,,,,,1,1,,1,,,,1,,,,,,,,,,1,1,,,,,,,1,,,1,,,
10:25,0:45,1,,,1,,,,,,,1,,,,,,,1,,,1,1,,,,,1,,1,,1,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,
10:26,0:46,,,1,,,,,,,1,1,1,,,,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,1,,,1,,,
10:27,0:47,,1,1,,,1,,,,,1,,1,,,,1,,,,1,1,,,,1,,1,,,,,,,,1,,,,,,1,,,1,1,,,1,,1,,,,,,,,
10:28,0:48,1,,1,,1,,,,,,,1,,,,1,1,,,,,,,,1,,1,,,,1,1,,,1,,,1,,1,,,,,1,,,,1,,1,,,,,1,,,
10:29,0:49,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,1,
10:30,0:50,,1,1,,,,,,,,1,1,,,,,,,,,,1,,,,,1,,1,,1,1,,1,1,,,1,1,1,1,1,,,,1,,,1,,1,,1,1,,1,,,
10:31,0:51,,,,,,1,,,,,1,,1,,,,1,,,,,1,,,1,1,,1,,,1,,,1,,1,,,1,,,,,1,,,,,1,,,1,,1,,,,,
10:32,0:52,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,1,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
10:33,0:53,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,1,,,
10:34,0:54,,,,,,1,,,,1,1,1,1,,,1,1,1,,,,1,,,,,1,1,,,1,,,,1,,,,,1,,1,,,,,,,,,,,1,1,,,,,
10:35,0:55,,1,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,1,,,,,,1,,,,,,,,,,,,,
10:36,0:56,,1,1,,,,,,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,1,
10:37,0:57,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,1,
10:38,0:58,1,1,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,2,
10:39,0:59,,,,,,,,,,1,,,1,,,1,,,,,1,,,,,,,,,,1,,,,1,,,1,,,1,1,,,1,,,,1,,,,,1,,,,,
10:40,1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:41,1:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:42,1:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:43,1:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:44,1:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:45,1:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:46,1:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:47,1:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:48,1:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:49,1:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:50,1:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:51,1:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:52,1:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:53,1:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:54,1:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:55,1:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:56,1:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:57,1:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:58,1:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:59,1:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,1:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:01,1:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:02,1:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:03,1:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:04,1:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:05,1:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:06,1:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:07,1:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:08,1:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:09,1:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
