Order_entered,Colony,Date,location,scent,Dance_no,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
22,C,6/17/22,South,Clove,1,_B-a,81,0,,,1,,,1,1,,,,,,,,,,,,,
1,C,6/17/22,South,Clove,1,BB-a,32,0,,,1,,,3,3,,,,,,,,,,,,,
4,C,6/17/22,South,Clove,2,BB-a,46,0,,,1,,,7,2,5,,,,,,,,,,,,
7,C,6/17/22,South,Clove,3,BB-a,51,0,,,1,,,12,12,,,,,,,,,,,,,
21,C,6/17/22,South,Clove,4,BB-a,79,0,,,1,,,38,4,2,13,19,,,,,,,,,,
23,C,6/17/22,South,Clove,5,BB-a,86,0,,,1,,,9,9,,,,,,,,,,,,,
25,C,6/17/22,South,Clove,6,BB-a,91,0,,,1,,,21,21,,,,,,,,,,,,,
27,C,6/17/22,South,Clove,7,BB-a,97,0,,,1,,,8,4,4,,,,,,,,,,,,
31,C,6/17/22,South,Clove,8,BB-a,102,0,,,1,,,18,8,10,,,,,,,,,,,,
33,C,6/17/22,South,Clove,9,BB-a,107,0,,,1,,,37,5,7,10,8,7,,,,,,,,,
37,C,6/17/22,South,Clove,10,BB-a,114,0,,,1,,,18,1,4,13,,,,,,,,,,,
39,C,6/17/22,South,Clove,11,BB-a,119,0,,,1,,,1,19,,,,,,,,,,,,,
32,C,6/17/22,North,Peppermint,1,BF,102,0,,,1,,,36,12,24,,,,,,,,,,,,
10,C,6/17/22,South,Clove,1,BO-a,63,0,,,1,,,3,2,1,,,,,,,,,,,,
13,C,6/17/22,South,Clove,2,BO-a,68,0,,,1,,,12,12,,,,,,,,,,,,,
34,C,6/17/22,South,Clove,3,BO-a,108,0,,,1,,,21,21,,,,,,,,,,,,,
36,C,6/17/22,South,Clove,4,BO-a,113,0,,,1,,,9,6,3,,,,,,,,,,,,
17,C,6/17/22,North,Peppermint,1,BP,75,0,,,1,,,9,7,2,,,,,,,,,,,,
24,C,6/17/22,North,Peppermint,2,BP,89,0,,,1,,,22,6,16,,,,,,,,,,,,
8,C,6/17/22,South,Clove,1,BR,52,0,,,1,,,14,12,2,,,,,,,,,,,,
26,C,6/17/22,South,Clove,2,BR,92,0,,,1,,,22,1,1,20,,,,,,,,,,,
28,C,6/17/22,South,Clove,3,BR,98,0,,,1,,,1,1,,,,,,,,,,,,,
38,C,6/17/22,South,Clove,4,BR,115,0,,,1,,,18,18,,,,,,,,,,,,,
29,C,6/17/22,North,Peppermint,1,BW,100,0,,,1,,,14,14,,,,,,,,,,,,,
14,C,6/17/22,South,Clove,1,FR-a,69,0,,,1,,,4,4,,,,,,,,,,,,,
18,C,6/17/22,South,Clove,2,FR-a,76,0,,,1,,,10,10,,,,,,,,,,,,,
30,C,6/17/22,South,Clove,3,FR-a,102,0,,,1,,,1,1,,,,,,,,,,,,,
20,C,6/17/22,South,Clove,1,GG-a,78,0,,,1,,,9,7,2,,,,,,,,,,,,
35,C,6/17/22,South,Clove,2,GG-a,109,0,,,1,,,9,9,,,,,,,,,,,,,
9,C,6/17/22,North,Peppermint,1,GR-a,54,0,,,1,,,10,5,1,2,2,,,,,,,,,,
11,C,6/17/22,North,Peppermint,2,GR-a,66,0,,,1,,,22,6,16,,,,,,,,,,,,
6,C,6/17/22,South,Clove,1,OB,50,0,,,1,,,9,9,,,,,,,,,,,,,
15,C,6/17/22,South,Clove,1,OP-a,71,0,,,1,,,4,4,,,,,,,,,,,,,
40,C,6/17/22,South,Clove,2,OP-a,120,0,,,1,,,24,24,,,,,,,,,,,,,
5,C,6/17/22,South,Clove,1,OY-a,46,0,,,1,,,1,1,,,,,,,,,,,,,
19,C,6/17/22,South,Clove,2,OY-a,77,0,,,1,,,2,2,,,,,,,,,,,,,
2,C,6/17/22,North,Peppermint,1,RB,33,0,,,1,,,10,10,,,,,,,,,,,,,
3,C,6/17/22,South,Clove,1,YP,35,0,,,1,,,2,2,,,,,,,,,,,,,
12,C,6/17/22,South,Clove,2,YP,68,0,,,1,,,2,2,,,,,,,,,,,,,
16,C,6/17/22,South,Clove,3,YP,74,0,,,1,,,14,14,,,,,,,,,,,,,
