Time_interval,Vid_time_interval,_B-a,BB-a,BO-a,BR,GG-a,FR-a,_O-a,OB,OO-wing,OP-a,OY-a,YP,_P-a
9:40,0:00,,,1,,,,,,,,1,1,
9:41,0:01,,,,,,,,,,,,,
9:42,0:02,,,,,,,,,,,,,
9:43,0:03,1,1,,,,,,,,,,,
9:44,0:04,,,,,,,,,,,,,
9:45,0:05,,,,,,,,,,,,,
9:46,0:06,,,,,,,,,,,,,
9:47,0:07,,,,,,,,,,,,,
9:48,0:08,,,,1,,,,,,,,,
9:49,0:09,,,,,,,,,,,,,
9:50,0:10,,,,,,,,,,,,,
9:51,0:11,,,,,,,,,,,1,,
9:52,0:12,,,,,,,,1,,,,1,
9:53,0:13,,,,,,,,,,,,,
9:54,0:14,,,,,,,,,,,,,
9:55,0:15,1,,,,,,,,,1,,,
9:56,0:16,,,,,,,,,,,,,
9:57,0:17,,,,,,,,,,,,,
9:58,0:18,,,,,,,,1,,,,,
9:59,0:19,1,,,1,,,,,,,,,
10:00,0:20,,,,,,,,,,,,,1
10:01,0:21,,,,,,,,,,,1,,
10:02,0:22,,,1,,,,,,,,,,
10:03,0:23,,,,,,,,,,,,,
10:04,0:24,,,,,,,,,,1,,,
10:05,0:25,,,,,,,,,,,,,
10:06,0:26,,,,,1,,,1,,,,1,
10:07,0:27,,,,,,,,,,,,,
10:08,0:28,,,,,,,,,,,,,
10:09,0:29,,1,,,,,,,,,,,
10:10,0:30,,,,1,,,,,,,,,
10:11,0:31,,,1,,,,,,,,1,,
10:12,0:32,,,,,,,,,,,,,
10:13,0:33,,,,,,,,,,,,,
10:14,0:34,,,,,1,,,1,,,,,
10:15,0:35,,,,,,1,,,,,,,
10:16,0:36,,,,1,,,,,,1,,1,
10:17,0:37,,,,,,,,,,,,,
10:18,0:38,,,,,,,,,,,,,
10:19,0:39,1,,,,,,,,,,,,
10:20,0:40,,1,,1,,,,1,,,,,
10:21,0:41,,,1,,,,,,,,,,
10:22,0:42,,,,,,,,,,,1,,
10:23,0:43,,,,,,,,,,,,,
10:24,0:44,,,,,,,,,,,,,
10:25,0:45,,,,,,,,,,,,,
10:26,0:46,,,,,,,,,,,,,
10:27,0:47,,,,,,,,,,1,,1,
10:28,0:48,,,,,,1,,1,,,,,
10:29,0:49,,,,,,,,,,,,,
10:30,0:50,1,1,,,,,,1,,,,,
10:31,0:51,,,,1,1,,,,,,,,
10:32,0:52,,,1,,,,,,,1,,,
10:33,0:53,,,,,,,,,,,,,
10:34,0:54,,,,,,,,,,,,,
10:35,0:55,,,,,,,,,,,,,
10:36,0:56,,,,,1,,,,,1,,1,
10:37,0:57,,,,,,,,,,,,,
10:38,0:58,,,,1,,1,,1,,,,,
10:39,0:59,,,,,,,,,,,,,
10:40,1:00,1,,,,,,,,,,,,
10:41,1:01,,,,,,,,,,,,,
10:42,1:02,,1,,,,,,,,,,,
10:43,1:03,,,1,,1,,,1,,,,,
10:44,1:04,,,,,,,,,,,1,,
10:45,1:05,,,,,,,,,,,,1,
10:46,1:06,,,,,,,,,,,,,
10:47,1:07,,,,1,,,,,,1,,,
10:48,1:08,1,,,,,1,,,,,,,
10:49,1:09,,,,,,,,,,,,,
10:50,1:10,,,,,,,,1,,,,,
10:51,1:11,,,,,,,,,,,,,
10:52,1:12,,,1,,,,,,,,1,,
10:53,1:13,,1,,,,,,,,,,,
10:54,1:14,,,,1,,,,,,1,,1,
10:55,1:15,,,,,,,,,,,,,
10:56,1:16,1,,,,,,,,,,,,
10:57,1:17,,,,,,1,,,,,,,
10:58,1:18,,,,,,,,,,,,,
10:59,1:19,,,1,,,,,,,,,,
11:00,1:20,,,,,,,,1,,,1,,
11:01,1:21,,,,,,,,,,,,,
11:02,1:22,,,,1,,,,,,1,,,
11:03,1:23,,1,,,1,,,,,,,,
11:04,1:24,1,,,,,,,,,,,,
11:05,1:25,,,,,,,,,,,,1,
11:06,1:26,,,,,,1,,,,,,,
11:07,1:27,,,,,,,,,,,,,
11:08,1:28,,,1,,,,,,,,,,
11:09,1:29,,,,,,,,,,,1,,
11:10,1:30,,,,,,,,,,,,,
11:11,1:31,,,,,,,,,,,,,
11:12,1:32,,,,,,,,,,1,,,
11:13,1:33,,,,,,,,1,,,,,
11:14,1:34,,,,,,,,,,,,,
11:15,1:35,1,1,,,,,,,,,,,
11:16,1:36,,,,,,,,,,,,,
11:17,1:37,,,,1,,,,,,,,1,
11:18,1:38,,,,,,,,,,,,,
11:19,1:39,,,,,,,,1,,,,,
11:20,1:40,,,,,,,,,,,,,
11:21,1:41,,,,,,,,,,,,,
11:22,1:42,1,,1,,1,,,,,,1,,
11:23,1:43,,,,,,,,,,,,,
11:24,1:44,,1,,,,,,,,,,,
11:25,1:45,,,,,,1,,,,,,,
11:26,1:46,,,,,,,,,,,,,
11:27,1:47,,,,,,,,,,,,1,
11:28,1:48,1,,,,,,,,,,,,
11:29,1:49,,,,1,,,,,,,,,
11:30,1:50,,,,,,,,,,,,,
11:31,1:51,,,1,1,,,,1,,,,,1
11:32,1:52,,,,,,,,,,,,,
11:33,1:53,,,,,,,,,,,,,
11:34,1:54,,1,,,,,,,,,,,
11:35,1:55,,,,,,,,,,,,,
11:36,1:56,,,,,1,,,,,,,,
11:37,1:57,,,,,,,,,,,,,
11:38,1:58,,,,,,,,,,,1,,
11:39,1:59,,,,,,,,,,,,,
11:40,2:00,,,,,,,,,,,,,
