Date: 07/18/22,,North,Peppermint,Person: Angela/Morgan,1 Full Tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# unique bees visited:,43,10,10,14,12,8,5,0,7,0,8,14,0,8,0,0,11,7,9,0,7,0,14,8,1,10,11,13,7,7,12,5,11,6,9,4,11,10,9,10,6,8,0,1,8,12,0,0,11,0,11,13,0,9,0,8,,22,27
Time_interval,Vid_time_interval,RF,FF-a,RWR,RO,ROG,RB,RPP,OP,OP-a,OB,OF-a,OW,YB,YG,YP,YP-a,YPY,YF,GW,GR,GP,GP-a,GO,GF,BP,BP-a,BG,BF-a,BO,BRR,BWW,PF-big,PF,PG,PY-v,PY-u,PYY,PRR,POO,PG-a,PGG,WF,WR,WR-a,WRR,WO-a,WGO,WGR,WGY,WOO,WOY,FR,FY,FW,FYR,GY,G_,Recruits:
10:08,0:38,,,1,1,1,,,,,,1,,1,,,,1,,,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,1,
10:09,0:39,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2
10:10,0:40,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,1,
10:11,0:41,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,1,,,,,,,,,1,1
10:12,0:42,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,1,1
10:13,0:43,1,,1,,,,,,,,1,,1,,,,1,,,,,,,,,,1,,,,1,1,1,,,,1,1,1,,,,,,,,,,,,1,,1,,,,1,
10:14,0:44,,1,,,,,,,,1,,,,,,,,,,,,1,1,,1,,,,1,1,,,,1,,,,,,,,,,,1,,,1,,,1,,,,,,1,
10:15,0:45,1,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,
10:16,0:46,,,1,,,,,,,,1,,,,,1,1,,,,,,,,1,1,,,,,,1,,,,,,1,1,,1,,,,,,,,,1,,,,,,,,
10:17,0:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,1,,,,,
10:18,0:48,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,
10:19,0:49,,,,,,1,,,,,1,,1,,,,,,,1,,1,,,,1,,,,,,1,,,1,,,,,1,,,,1,1,,,,,,1,,,,1,,1,
10:20,0:50,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,1,,,,,,,,,1,,,,,,,1,
10:21,0:51,,,1,1,1,,,,,1,,,1,,,,,,,,,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,
10:22,0:52,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,1,,,,,1,,,,1,,,,,,,,,,
10:23,0:53,,,,,,,,1,,,1,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,
10:24,0:54,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,
10:25,0:55,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2
10:26,0:56,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2
10:27,0:57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2
10:28,0:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,2
10:29,0:59,,,,,1,,,,,,,,,,,1,1,1,,,,,,1,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,1,1,,,,,,,2
