Date: 06/15/22,"*watched until 30:00, fast-forwarded through whole video to record recruits",North,Peppermint,Person: Angela/Morgan,1 Full Tray,,,,,,,,,,,,,,,,,,,GO may be GF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# unique bees visited:,43,24,16,29,13,5,21,0,0,0,18,19,22,25,0,0,21,21,11,0,0,13,17,16,5,7,16,20,21,11,15,16,0,0,11,20,1,15,20,9,25,18,18,0,9,16,18,0,0,20,0,19,17,16,14,0,17,1,48,
Time_interval,Vid_time_interval,RF,FF-a,RWR,RO,ROG,RB,RPP,OP,OP-a,OB,OF-a,OW,YB,YG,YP,YP-a,YPY,YF,GW,GR,GP,GP-a,GO,GF,GY,BP,BP-a,BG,BF-a,BO,BRR,BWW,PF-big,PF,PG,PY-v,PY-u,PYY,PRR,POO,PG-a,PGG,WF,WR,WR-a,WRR,WO-a,WGO,WGR,WGY,WOO,WOY,FR,FY,FW,FYR,G_,Recruits:,
9:50,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:51,0:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:52,0:02,,,1,,,,,,,,,,1,,,,said FY-a?,,,,,1,1,,,,,,,,,,,,,,just said PY?,,,,,,,,1,,,,,,Said WFF?,,,,,1,,,
9:53,0:03,,,1,,,,,,,,,,1,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
9:54,0:04,,,1,,,1,,,,,,1,1,,,1,,,,,,,,,,,,,1,,,,,1,,,,,said FRR?,,,,,,,1,,,,,,,,,,,,,
9:55,0:05,,,1,1,,1,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,said WGG?,,,1,,,,,,,,1,,,,,,
9:56,0:06,1,,,,,,,,,,,,,,,,said FY-a?,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,
9:57,0:07,1,1,,,,,,,,,,,1,,,1,said YP?,1,,,1,,,,,,,1,,,,,,,,just said PY,,,,,,,,,,,,,,,,,,,,,,,
9:58,0:08,,1,,1,,1,,,,,,,1,,,,1,,,,,,,,,,,1,1,1,,,,,,just said PY,,,,1,,1,,,1,,,,,,,,,,,,,,
9:59,0:09,,,1,,1,1,,,,,,,,,,,1,,,,,,,1,,1,1,,,1,1,,said PR?,,1,just said PY,,,,,1,1,,1,,,,,,,,,1,1,,,1,,
10:00,0:10,1,,1,,,,,,,1,1,1,,,,,1,,,,,1,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,1,,1,,,,,
10:01,0:11,,1,,,1,,,,,,,,1,,,1,,,,,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,,1,,,1,,,,1,,,
10:02,0:12,,1,,,,1,,,,,,,,,,1,,1,,,,,1,,,1,,1,,,,,,,1,,,,,,1,1,,,,1,,,,,1,,,,,,,,FRR
10:03,0:13,,,,,,1,,,,,1,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,1,,,,,,1,1,,1,,,,1,
10:04,0:14,,1,,,,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,1,,,1,,1,,,,1,
10:05,0:15,1,,,1,1,,,,,,,,,,,1,1,,,,,1,,,,,,1,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,1,,1,
10:06,0:16,,1,,1,,,,,,1,,1,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,
10:07,0:17,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,1,,,,,,,1,1,1,,,,,
10:08,0:18,1,,1,1,1,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,1,,,,,,,,,,BR
10:09,0:19,,1,,,,,,,,1,1,1,1,,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,"OG-a, FRR, WG"
10:10,0:20,,,1,,,,,,,,1,,,,,1,1,1,,,,,,,,1,,1,1,,,,,,,,1,,,1,,1,,,1,,,,,,,,,,,,,1,
10:11,0:21,1,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,,,,1,,,,1,,1,1,,,,1,,,,,,,1,,1,1,1,1,,,,,
10:12,0:22,,,,1,1,1,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,1,,,,,,1,
10:13,0:23,1,1,,,,,,,,1,,1,1,,,1,,,,,1,1,1,,,,,1,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,1,
10:14,0:24,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,1,1,,,,,,,,,1,,1,1,1,,,,,,,,,,1,,1,,1,,,
10:15,0:25,,,,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,1,1,,,,,,,,1,,1,,,
10:16,0:26,1,,1,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,,1,,,,,,,,FRR
10:17,0:27,1,1,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,FG-a
10:18,0:28,,,1,,,1,,,,1,1,1,1,,,,1,,,,,,,,,1,1,1,1,1,,,,1,1,,1,,,1,1,1,,,1,,,,,,1,,,1,,,,,
10:19,0:29,1,,1,,,1,,,,,,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,1,,1,
10:20,0:30,1,,1,,1,1,,,,,,,,,,1,,,,,,1,,1,1,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,
10:21,0:31,,,1,,,,,,,,1,,1,,,,1,1,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
10:22,0:32,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,
10:23,0:33,1,,,,,1,,,,,,1,1,,,1,,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,,,1,,,
10:24,0:34,,,,1,,1,,,,,,,,,,1,1,,,,1,,,1,,,,,,,1,,,1,1,,1,,,1,1,,,,,,,,1,,1,,1,1,,,,1,
10:25,0:35,,,1,,1,,,,,1,,,,,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,
10:26,0:36,1,1,1,,,,,,,1,,1,1,,,,1,1,,,,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,1,1,1,,,,,,
10:27,0:37,,1,,,,,,,,,,1,,,,,1,,,,,,,1,,1,,,,,1,,,,1,,,1,1,1,1,,,1,,,,,1,,,,,,,,,,
10:28,0:38,,,1,1,,1,,,,,,,,,,1,1,,,,,1,,,,,1,,,,,,,,,,1,1,1,1,1,,,,1,,,,1,,,1,,,,1,,,
10:29,0:39,1,,,,,1,,,,1,1,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,1,
10:30,0:40,1,1,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,1,
10:31,0:41,1,1,1,,1,,,,,,1,1,,,,,1,,,,,,1,,,,1,,1,,1,,,1,1,,,,1,1,1,,,,,,,,1,,,,,,,,,,
10:32,0:42,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,
10:33,0:43,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,1,,,,,,,
10:34,0:44,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,1,,,,,,,1,,,,,,,1,,1,,,1,,1,,1,
10:35,0:45,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,1,
10:36,0:46,1,,,1,,,,,,,,1,,,,,1,,,,,1,,,,1,1,1,,,1,,,,1,1,1,,,,,,,1,,,,,,,,,1,,,,,2,
10:37,0:47,1,,,,,1,,,,,1,,1,,,1,,1,,,1,1,,,1,,,,,,,,,,,,,1,,,1,,,,1,1,,,,,1,1,1,,,1,,,
10:38,0:48,,,1,,,1,,,,,1,,,,,,,,,,,,1,,1,,1,,,,,,,1,1,,1,,1,1,1,,,1,,,,,1,,1,,,,,,,,
10:39,0:49,,,1,1,,,,,,1,,1,,,,,,,,,,1,,,,,1,1,,,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,
10:40,0:50,1,,,,,,,,,,,1,,,,,1,1,,,1,1,,,,1,,1,1,1,,,,,1,,,,,,,1,,1,,1,,,,,,,,1,,,,,
10:41,0:51,,1,,,,,,,,1,1,,,,,,1,1,,,1,,,,,1,,,1,,,,,,,,,1,,1,1,1,,,,1,,,,,,,1,,,1,,,
10:42,0:52,,1,1,,,,,,,,1,,1,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,1,1,,,,1,,,,,,,1,,,,,,,1,
10:43,0:53,1,,1,,,,,,,1,,1,,,,1,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,1,,1,
