,,#NAME?,,,,Dances,222,40,,4459,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/18/22,PY-v,51,35,52,10,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-v,55,54,56,52,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-a,33,17,34,20,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-a,37,44,38,32,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-a,42,10,42,56,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-a,46,33,47,21,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-a,50,52,51,40,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-a,54,19,54,39,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PY-a,58,25,59,14,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PYY,11,22,12,30,0,runs around a lot but never waggles,1,0,,,,,,,,,,,,,,
7B,7/18/22,PYY,19,49,20,53,0,some running but no waggles or loops,,0,,,,,,,,,,,,,,
7B,7/18/22,PYY,31,8,31,54,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PYY,34,43,35,36,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PYY,38,27,39,27,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PYY,41,59,42,45,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PYY,45,21,46,12,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PYY,49,5,49,43,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PYY,52,6,53,20,1,,,17,17,,,,,,,,,,,,,
7B,7/18/22,PYY,55,52,57,7,1,,,8,8,,,,,,,,,,,,,
7B,7/18/22,RB,32,22,33,2,1,,,2,2,,,,,,,,,,,,,
7B,7/18/22,RB,36,19,37,11,1,,,11,2,2,7,,,,,,,,,,,
7B,7/18/22,RB,40,10,41,1,1,,,1,1,,,,,,,,,,,,,
7B,7/18/22,RB,43,30,45,18,1,first bout on glass,,9,4,5,,,,,,,,,,,,
7B,7/18/22,RB,48,2,48,44,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,RB-a,40,9,49,37,0,followed dance by GGW + very interested in PO,,0,,,,,,,,,,,,,,
7B,7/18/22,RF,8,11,9,18,1,very nice waggle runs,0,4,4,,,,,,,,,,,,,
7B,7/18/22,RF,20,27,21,53,1,,,6,6,,,,,,,,,,,,,
7B,7/18/22,RF,24,55,25,57,0,loops but no waggle runs,2,0,,,,,,,,,,,,,,
7B,7/18/22,RF,28,46,30,59,0,many food exchanges but no clear waggle runs,2,0,,,,,,,,,,,,,,
7B,7/18/22,RF,33,45,34,47,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,RF,37,18,37,49,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,RF,40,56,41,53,1,danced upside down,,5,5,,,,,,,,,,,,,
7B,7/18/22,RF,44,29,45,8,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,RF,47,55,49,11,1,,,13,13,,,,,,,,,,,,,
7B,7/18/22,RF,51,34,52,57,1,,,18,18,,,,,,,,,,,,,
7B,7/18/22,RF,55,39,56,51,1,,,5,5,,,,,,,,,,,,,
7B,7/18/22,RF,59,24,60,44,1,,,14,3,11,,,,,,,,,,,,
7B,7/18/22,RO,21,34,22,32,1,,,3,3,,,,,,,,,,,,,
7B,7/18/22,RO,24,55,25,43,1,faint waggles,1,2,2,,,,,,,,,,,,,
7B,7/18/22,RO,28,6,29,22,1,flipped over on glass more than once,1,17,11,6,,,,,,,,,,,,
7B,7/18/22,RO,31,59,33,50,1,,,39,39,,,,,,,,,,,,,
7B,7/18/22,RO,37,11,37,51,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,RO,43,14,44,26,1,,,24,24,,,,,,,,,,,,,
7B,7/18/22,RO,46,56,47,40,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,RO,50,8,50,52,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,RO,53,10,54,51,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,RO,59,2,59,31,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,ROG,40,14,40,44,0,subtle waggle but no clear circuit,,0,,,,,,,,,,,,,,
7B,7/18/22,RW-a,27,47,,,0,Tremble Dance - Stopped watching at 00:35:00,,0,,,,,,,,,,,,,,
7B,7/18/22,RW-a,35,41,,,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/18/22,RW-a,40,48,48,49,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/18/22,RW-a,51,49,60,0,0,"tremble dance, continued after 60 min but stopped tracking after that",,0,,,,,,,,,,,,,,
7B,7/18/22,RWR,36,15,37,48,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,RWR,43,54,44,46,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,RWR,49,13,49,57,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,RWR,55,10,55,48,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,RWR,59,6,60,15,1,,,11,1,10,,,,,,,,,,,,
7B,7/18/22,WG,58,50,62,49,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WGG,24,39,29,0,0,"almost a tremble dance, lots of waggling but no clear runs, many very short trophallaxis events",,0,,,,,,,,,,,,,,
7B,7/18/22,WGG,31,33,35,58,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WGG,36,12,37,11,0,inside a cell for a long time,,0,,,,,,,,,,,,,,
7B,7/18/22,WGG,40,19,42,46,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WGG,45,27,46,44,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WGG,49,39,51,37,0,head in cell for a while,,0,,,,,,,,,,,,,,
7B,7/18/22,WGG,54,12,55,9,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WGG,57,50,58,32,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WGR,9,29,10,36,0,runs around and makes a few loops,2,0,,,,,,,,,,,,,,
7B,7/18/22,WGR,13,40,15,18,1,some waggling on other directions,2,12,5,1,1,2,3,,,,,,,,,
7B,7/18/22,WGR,18,9,19,53,1,,4,8,6,2,,,,,,,,,,,,
7B,7/18/22,WGR,22,38,23,43,1,,1,1,1,,,,,,,,,,,,,
7B,7/18/22,WGR,26,21,27,4,0,ran around but no clean waggles,,0,,,,,,,,,,,,,,
7B,7/18/22,WGR,29,59,31,5,1, Flips over after second bout before leaving,1,13,2,11,,,,,,,,,,,,
7B,7/18/22,WGR,34,16,35,38,1,,,18,1,5,11,1,,,,,,,,,,
7B,7/18/22,WGR,38,34,39,45,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WGR,42,32,43,21,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WGR,46,13,47,32,1,,,7,7,,,,,,,,,,,,,
7B,7/18/22,WGR,50,16,51,23,1,,,9,9,,,,,,,,,,,,,
7B,7/18/22,WGR,53,58,55,24,1,,,18,3,15,,,,,,,,,,,,
7B,7/18/22,WGR,58,23,59,20,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,PO,57,3,57,55,0,spent a lot of time with her head in a cell,,0,,,,,,,,,,,,,,
7B,7/18/22,WOO,7,32,7,58,0,Makes several slightly round-dance-like loops but no waggles,2,0,,,,,,,,,,,,,,
7B,7/18/22,WOO,11,49,12,31,1,"waggle run quite clear, exchanges food at entrance for a long time + we lose sight of her because I zoomed in",1,1,1,,,,,,,,,,,,,
7B,7/18/22,WOO,14,52,16,10,1,,,8,2,1,1,4,,,,,,,,,,
7B,7/18/22,WOO,19,18,20,25,1,,1,11,2,1,5,1,2,,,,,,,,,
7B,7/18/22,WOO,23,1,24,14,0,loops but no waggle runs,3,0,,,,,,,,,,,,,,
7B,7/18/22,WOO,30,16,31,24,1,Takes a while to eat before waggling,1,10,10,,,,,,,,,,,,,
7B,7/18/22,WOO,33,55,34,47,1,2 waggles cut off too soon,2,2,2,,,,,,,,,,,,,
7B,7/18/22,WOO,37,24,38,30,1,,,11,11,,,,,,,,,,,,,
7B,7/18/22,WOO,41,15,41,55,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WOO,44,31,45,55,1,,,24,8,3,2,11,,,,,,,,,,
7B,7/18/22,WOO,48,39,49,36,1,,,11,11,,,,,,,,,,,,,
7B,7/18/22,WOO,52,16,53,19,1,had been recorded as WOY with no waggle runs but time corresponds to WOO and I can't find WOY during this period,,20,2,18,,,,,,,,,,,,
7B,7/18/22,WOO,55,54,56,54,1,,,9,2,7,,,,,,,,,,,,
7B,7/18/22,WOY,5,15,7,3,0,Makes many slightly round-dance-like loops but no waggles,5,0,,,,,,,,,,,,,,
7B,7/18/22,WOY,9,35,10,52,1,some waggling outside of waggle runs (counted waggles that appeared to be in correct direction),2,22,2,2,10,1,7,,,,,,,,,
7B,7/18/22,WOY,12,56,14,17,1,starts off on glass so marks not visible,,29,6,13,5,5,,,,,,,,,,
7B,7/18/22,WOY,20,51,22,27,1,1st 3 waggles very messy but the rest were clear,,25,3,7,6,6,2,1,,,,,,,,
7B,7/18/22,WOY,31,23,32,27,1,,,24,3,21,,,,,,,,,,,,
7B,7/18/22,WOY,35,9,36,30,1,,,24,5,5,6,4,3,1,,,,,,,,
7B,7/18/22,WOY,39,17,40,20,1,,,14,10,4,,,,,,,,,,,,
7B,7/18/22,WOY,46,48,47,31,1,,,6,6,,,,,,,,,,,,,
7B,7/18/22,WOY,50,4,50,54,1,,,10,4,4,2,,,,,,,,,,,
7B,7/18/22,WOY,53,21,54,5,1,"hadn't recorded any waggle runs, but there appear to be 4",,4,4,,,,,,,,,,,,,
7B,7/18/22,WOY,56,49,57,44,1,,,11,9,1,1,,,,,,,,,,,
7B,7/18/22,WR,44,25,44,59,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WR,51,20,57,9,,pollen on her legs,,,9,7,2,4,20,4,,,,,,,,
7B,7/18/22,WR-a,13,31,14,50,0,runs around a lot but no clear waggle run,4,0,,,,,,,,,,,,,,
7B,7/18/22,WR-a,17,51,18,50,0,excited running but no clear waggle run,3,0,,,,,,,,,,,,,,
7B,7/18/22,WR-a,21,11,23,45,1,she kept losing her followers,,33,2,2,3,1,1,13,1,3,7,,,,,
7B,7/18/22,WR-a,26,18,27,42,1,on glass at start,,20,2,18,,,,,,,,,,,,
7B,7/18/22,WR-a,30,26,32,33,1,"Short breaks in between bouts, some could be combined",,52,1,7,4,23,17,,,,,,,,,
7B,7/18/22,WR-a,35,35,36,16,1,,,8,1,7,,,,,,,,,,,,
7B,7/18/22,WR-a,39,2,41,13,1,,,62,62,,,,,,,,,,,,,
7B,7/18/22,WR-a,44,7,46,49,1,,,56,15,10,16,15,,,,,,,,,,
7B,7/18/22,WR-a,49,22,51,49,1,,,54,7,13,12,22,,,,,,,,,,
7B,7/18/22,WR-a,54,37,56,44,1,,,45,5,2,5,14,19,,,,,,,,,
7B,7/18/22,WR-a,59,35,61,32,1,,,54,8,27,10,9,,,,,,,,,,
7B,7/18/22,WRR,39,57,40,39,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WRR,43,40,44,9,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WRR,47,11,47,47,0,"had been recorded as PRR, but I don't see her and this is the correct time for WRR",,0,,,,,,,,,,,,,,
7B,7/18/22,WRR,50,38,51,41,1,,,12,12,,,,,,,,,,,,,
7B,7/18/22,WRR,58,2,58,41,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WY,25,43,27,5,0,excited running at end but no clear loops or waggle runs,,0,,,,,,,,,,,,,,
7B,7/18/22,WY,29,12,30,57,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WY,44,34,45,4,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WY,48,16,49,10,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WY,51,54,52,50,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WY,58,40,59,17,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WY-a,11,36,12,52,1,I think I must've remarked the yellow on her abdomen after the photo was taken,2,4,1,1,2,,,,,,,,,,,
7B,7/18/22,WY-a,25,48,26,48,0,runs excitedly but no waggles or loops,,0,,,,,,,,,,,,,,
7B,7/18/22,WY-a,33,33,34,33,1,,2,6,1,2,3,,,,,,,,,,,
7B,7/18/22,WY-a,37,41,38,43,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WY-a,41,32,43,17,1,,2,22,21,1,,,,,,,,,,,,
7B,7/18/22,WY-a,46,25,47,31,1,,,18,6,12,,,,,,,,,,,,
7B,7/18/22,WY-a,50,45,51,25,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,WY-a,54,19,56,44,1,"looks like wy-a but doesn't match the one in sheet- hmm, I'll have to go back and check the WY-a abdomens, thanks!",,49,10,12,13,6,8,,,,,,,,,
7B,7/18/22,WY-a,59,2,60,5,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YB,28,39,29,35,1,"a bit equivolcal whether all 8 be considered waggle runs (all consecutive- 8 circuits, but 5 with very clear waggles)",1,8,8,,,,,,,,,,,,,
7B,7/18/22,YB,31,46,34,11,1,,2,40,6,23,11,,,,,,,,,,,
7B,7/18/22,YB,36,53,37,57,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YB,40,27,42,36,1,,,37,8,11,9,9,,,,,,,,,,
7B,7/18/22,YB,45,15,47,17,1,,,42,26,16,,,,,,,,,,,,
7B,7/18/22,YB,50,4,50,52,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YB,53,32,54,52,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YB,57,19,57,58,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YF,34,31,35,4,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YF,37,57,38,50,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YF,41,26,42,14,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YF,45,20,46,6,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YF,48,54,49,40,1,,,0,,,,,,,,,,,,,,
7B,7/18/22,YF,52,25,53,1,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YF,55,55,56,31,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YF,59,20,59,58,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YO-a,36,18,37,5,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YO-a,48,27,49,33,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YO-a,56,0,56,47,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YP-a,4,43,8,0,1,"First bout kind of like tremble dance, pollen on legs?",6,26,6,4,3,1,3,3,1,1,1,1,2,,,
7B,7/18/22,YP-a,10,35,13,19,1,"still many waggle motions in other directions, but mostly a clear waggle dance",6,64,5,2,12,5,8,12,1,5,5,9,,,,
7B,7/18/22,YP-a,16,15,19,58,1,"messy dance, not always figure eights + waggles often not confined to correct direction",many,117,7,17,8,4,15,1,19,14,32,,,,,
7B,7/18/22,YP-a,23,3,26,25,1,,3,99,1,1,47,1,34,6,9,,,,,,,
7B,7/18/22,YP-a,29,22,31,2,1,"shakes but doesn't fully waggles once or twice rigt when it enters, pauses and then does two more vague shakes",4,31,31,,,,,,,,,,,,,
7B,7/18/22,YP-a,33,55,35,1,0,some waggles but no clear waggle run,,0,,,,,,,,,,,,,,
7B,7/18/22,YP-a,37,55,39,32,1,,,40,40,,,,,,,,,,,,,
7B,7/18/22,YP-a,42,20,45,17,1,,,75,7,8,23,25,12,,,,,,,,,
7B,7/18/22,YP-a,49,12,53,5,1,,,107,18,17,20,22,7,23,,,,,,,,
7B,7/18/22,YP-a,56,18,58,40,1,,,56,56,,,,,,,,,,,,,
7B,7/18/22,YPY,31,31,32,54,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YPY,36,18,37,43,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YPY,45,54,46,1,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,YPY,49,15,50,3,0,,,0,,,,,,,,,,,,,,
