,,#NAME?,,,,Dances,222,40,,4459,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/18/22,BRR,56,0,56,49,1,,,8,8,,,,,,,,,,,,,
7B,7/18/22,BRR,59,20,60,13,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BW-a,21,35,23,14,0,no loops or waggling,,0,,,,,,,,,,,,,,
7B,7/18/22,BW-a,30,54,32,14,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BW-a,34,45,35,47,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BW-a,38,27,39,27,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BW-a,42,58,44,2,1,this really is BW-a,,5,5,,,,,,,,,,,,,
7B,7/18/22,BW-a,49,51,50,38,0,this really is BW-a,,0,,,,,,,,,,,,,,
7B,7/18/22,BW-a,53,10,53,52,0,this really is BW-a,,0,,,,,,,,,,,,,,
7B,7/18/22,BWW,38,0,41,57,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/18/22,BWW,46,29,49,40,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/18/22,BWW,53,23,57,15,0,tremble dance,,0,,,,,,,,,,,,,,
7B,7/18/22,BY-a,32,33,33,46,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BY-a,37,2,37,46,0,subtle waggle but no clear circuit or run,,0,,,,,,,,,,,,,,
7B,7/18/22,BY-a,40,41,41,34,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BY-a,48,47,49,52,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,BY-a,56,58,57,53,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FF-a,21,53,23,3,0,ran around but didn't waggle,1,0,,,,,,,,,,,,,,
7B,7/18/22,FF-a,39,9,40,1,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FF-a,42,39,43,16,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FF-a,45,57,47,15,1,,,6,3,3,,,,,,,,,,,,
7B,7/18/22,FF-a,49,44,50,39,1,,,12,12,,,,,,,,,,,,,
7B,7/18/22,FF-a,53,13,54,21,1,,,15,15,,,,,,,,,,,,,
7B,7/18/22,FFP,9,4,13,39,1,starts off on glass so marks aren't visible; RW-a follows dance + shows up at array shortly afterrwards,4,56,19,6,3,7,2,4,1,1,8,3,1,1,,
7B,7/18/22,FFP,16,15,18,53,1,took a very long time to find exit after flipping over on glass,2,28,1,1,1,22,2,1,,,,,,,,
7B,7/18/22,FFP,21,44,23,1,1,,,6,5,1,,,,,,,,,,,,
7B,7/18/22,FFP,25,34,29,13,1,,2,72,14,43,4,10,1,,,,,,,,,
7B,7/18/22,FFP,32,43,36,58,1,,2,72,1,4,10,16,10,6,2,22,1,,,,,
7B,7/18/22,FFP,39,33,42,22,1,,,21,19,1,1,,,,,,,,,,,
7B,7/18/22,FFP,45,5,48,16,1,,,22,10,12,,,,,,,,,,,,
7B,7/18/22,FFP,51,20,59,11,1,spent a lot of time with her head in multiple cells,3,15,9,4,2,,,,,,,,,,,
7B,7/18/22,FGG,32,29,34,9,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FGG,37,26,38,50,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FGG,41,23,43,5,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FGG,46,4,47,8,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FGG,58,50,59,56,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FR-a,31,53,33,6,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FR-a,35,56,36,41,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FR-a,39,16,40,7,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FR-a,42,58,44,2,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FR-a,46,1,47,12,1,,,13,13,,,,,,,,,,,,,
7B,7/18/22,FR-a,49,43,50,51,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FR-a,53,21,54,20,0,,4,0,,,,,,,,,,,,,,
7B,7/18/22,FR-a,56,53,58,11,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FY,15,18,17,24,1,"large, curved yellow mark- note says I remarked FY",,25,1,10,2,12,,,,,,,,,,
7B,7/18/22,FY,20,10,22,57,1,,2,60,3,1,1,2,10,2,4,1,1,35,,,,
7B,7/18/22,FY,25,30,26,53,1,last bout was on glass,,15,8,1,1,5,,,,,,,,,,
7B,7/18/22,FY,29,11,31,55,1,,3,62,44,18,,,,,,,,,,,,
7B,7/18/22,FY,35,19,37,49,1,,,61,1,13,39,8,,,,,,,,,,
7B,7/18/22,FY,40,29,42,0,1,,,24,12,12,,,,,,,,,,,,
7B,7/18/22,FY,44,31,46,38,1,another PY that isnt in doc- it was FY,,54,28,18,8,,,,,,,,,,,
7B,7/18/22,FY,49,28,50,29,1,,,11,11,,,,,,,,,,,,,
7B,7/18/22,FYR,10,25,12,12,1,,4,8,3,5,,,,,,,,,,,,
7B,7/18/22,FYR,22,20,23,44,1,second bout of dancing was on glass (very unusual),1,13,9,4,,,,,,,,,,,,
7B,7/18/22,FYR,27,18,29,14,1,,2,14,1,2,10,1,,,,,,,,,,
7B,7/18/22,FYR,32,22,33,31,1,,2,14,14,,,,,,,,,,,,,
7B,7/18/22,FYR,37,0,39,25,1,,,45,2,1,37,5,,,,,,,,,,
7B,7/18/22,FYR,43,3,44,39,1,,,22,6,16,,,,,,,,,,,,
7B,7/18/22,FYR,47,38,48,17,1,,,3,3,,,,,,,,,,,,,
7B,7/18/22,FYR,51,56,53,7,1,,,24,24,,,,,,,,,,,,,
7B,7/18/22,FYR,56,25,57,53,1,,,20,2,5,7,6,,,,,,,,,,
7B,7/18/22,FYY,17,51,18,59,0,excited running but no clear waggle/circuit,3,0,,,,,,,,,,,,,,
7B,7/18/22,FYY,30,44,32,33,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FYY,35,38,37,13,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FYY,40,30,41,18,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FYY,49,3,50,12,1,,,15,15,,,,,,,,,,,,,
7B,7/18/22,FYY,53,9,54,10,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,FYY,57,18,58,13,1,,,10,8,2,,,,,,,,,,,,
7B,7/18/22,GF,40,,,,,pollen or resin on her legs,,,,,,,,,,,,,,,,
