"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Bout_1","Bout_2","Bout_3","Bout_4","Bout_5","Bout_6","Bout_7","Bout_8","Bout_9","Bout_10","Bout_11","Bout_12","Bout_13","Bout_14","Decimal_entrance_time","Total_runs","Decimal_time","Duration","Scent","Site","Density","Flower_number"
"C","6/15/22","FR.a_C",97,0,1,18,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,31,33,87,"Clove","South","High","Low"
"C","6/15/22","GR.a_C",66,0,1,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,10,39,81,"Peppermint","Northeast","High","Low"
"C","6/15/22","GR.a_C",71,0,1,5,21,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,42,39,81,"Peppermint","Northeast","High","Low"
"C","6/15/22","GR.a_C",78,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,3,39,81,"Peppermint","Northeast","High","Low"
"C","6/15/22","GR.a_C",84,0,1,8,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,18,39,81,"Peppermint","Northeast","High","Low"
"C","6/15/22","GR.a_C",97,0,1,15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,27,39,81,"Peppermint","Northeast","High","Low"
"C","6/15/22","OP.a_C",121,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,1,53,67,"Clove","South","High","Low"
"C","6/15/22","OY.a_C",113,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,5,28,92,"Clove","South","High","Low"
"C","6/15/22","RB_C",62,0,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,13,26,94,"Peppermint","Northeast","High","Low"
"C","6/15/22","RB_C",82,0,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,18,26,94,"Peppermint","Northeast","High","Low"
"C","6/15/22","RB_C",108,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,4,26,94,"Peppermint","Northeast","High","Low"
"C","6/15/22","RB_C",113,0,1,3,23,12,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,45,26,94,"Peppermint","Northeast","High","Low"
"C","6/16/22","_B.a_C",92,0,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,21,3,117,"Clove","South","Low","Low"
"C","6/16/22","_B.a_C",100,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,12,3,117,"Clove","South","Low","Low"
"C","6/16/22","BB.a_C",112,0,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,8,3,117,"Clove","South","Low","Low"
"C","6/16/22","BF_C",52,0,1,1,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,22,13,107,"Peppermint","Northeast","High","Low"
"C","6/16/22","BF_C",66,0,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,14,13,107,"Peppermint","Northeast","High","Low"
"C","6/16/22","BF_C",84,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,4,13,107,"Peppermint","Northeast","High","Low"
"C","6/16/22","BF_C",96,0,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,13,13,107,"Peppermint","Northeast","High","Low"
"C","6/16/22","BF_C",104,0,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,8,13,107,"Peppermint","Northeast","High","Low"
"C","6/16/22","BF_C",117,0,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,6,13,107,"Peppermint","Northeast","High","Low"
"C","6/16/22","BO.a_C",70,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,3,0,120,"Clove","South","Low","Low"
"C","6/16/22","BO.a_C",76,0,1,12,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,15,0,120,"Clove","South","Low","Low"
"C","6/16/22","BO.a_C",84,0,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,11,0,120,"Clove","South","Low","Low"
"C","6/16/22","BO.a_C",92,0,1,3,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,33,0,120,"Clove","South","Low","Low"
"C","6/16/22","BO.a_C",106,0,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,10,0,120,"Clove","South","Low","Low"
"C","6/16/22","BO.a_C",116,0,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,9,0,120,"Clove","South","Low","Low"
"C","6/16/22","BP_C",68,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,7,21,99,"Peppermint","Northeast","High","Low"
"C","6/16/22","BP_C",73,0,1,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,17,21,99,"Peppermint","Northeast","High","Low"
"C","6/16/22","BR_C",89,0,1,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,15,8,112,"Clove","South","Low","Low"
"C","6/16/22","FR.a_C",76,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,3,35,85,"Clove","South","Low","Low"
"C","6/16/22","GG.a_C",70,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,2,26,94,"Clove","South","Low","Low"
"C","6/16/22","GR.a_C",98,0,1,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,28,21,99,"Peppermint","Northeast","High","Low"
"C","6/16/22","GR.a_C",113,0,1,1,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,18,21,99,"Peppermint","Northeast","High","Low"
"C","6/16/22","GW_C",112,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,5,2,118,"Peppermint","Northeast","High","Low"
