"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Decimal_entrance_time","Total_runs","Trial","Day","Scent","Treatment","Setup","Site","Density","Flower_number","Array_time","Duration"
"C","6/16/22","BF_C",52,0,1,52,22,"Trial 1",2,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",13,107
"C","6/16/22","BF_C",66,0,1,66,14,"Trial 1",2,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",13,107
"C","6/16/22","BF_C",84,0,1,84,4,"Trial 1",2,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",13,107
"C","6/16/22","BF_C",96,0,1,96,13,"Trial 1",2,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",13,107
"C","6/16/22","BF_C",104,0,1,104,8,"Trial 1",2,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",13,107
"C","6/16/22","BF_C",117,0,1,117,6,"Trial 1",2,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",13,107
"C","6/16/22","BO.a_C",70,0,1,70,3,"Trial 1",2,"Clove","Changing","Density: Low, Number of flowers: Low","South","Low","Low",0,120
"C","6/16/22","BO.a_C",76,0,1,76,15,"Trial 1",2,"Clove","Changing","Density: Low, Number of flowers: Low","South","Low","Low",0,120
"C","6/16/22","BO.a_C",84,0,1,84,11,"Trial 1",2,"Clove","Changing","Density: Low, Number of flowers: Low","South","Low","Low",0,120
"C","6/16/22","BO.a_C",92,0,1,92,33,"Trial 1",2,"Clove","Changing","Density: Low, Number of flowers: Low","South","Low","Low",0,120
"C","6/16/22","BO.a_C",106,0,1,106,10,"Trial 1",2,"Clove","Changing","Density: Low, Number of flowers: Low","South","Low","Low",0,120
"C","6/16/22","BO.a_C",116,0,1,116,9,"Trial 1",2,"Clove","Changing","Density: Low, Number of flowers: Low","South","Low","Low",0,120
"C","6/16/22","BP_C",68,0,1,68,7,"Trial 1",2,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low",21,99
