"Colony","Trial","Date","Day","Scent","Treatment","Setup","Site","Density","Flower_number","Bee","Dances","Dance_rate","Waggle_runs"
"C","Trial 1","6/17/22",3,"Clove","Changing","Density: High, Number of flowers: High","South","High","High","_B.a_C",1,0.566037735849057,1
"C","Trial 1","6/17/22",3,"Clove","Changing","Density: High, Number of flowers: High","South","High","High","_O.a_C",0,0,0
"C","Trial 1","6/17/22",3,"Clove","Changing","Density: High, Number of flowers: High","South","High","High","_P.a_C",0,0,0
"C","Trial 1","6/17/22",3,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low","BF_C",1,0.638297872340426,36
"C","Trial 1","6/17/22",3,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low","BP_C",2,1.15384615384615,31
"C","Trial 1","6/17/22",3,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low","BW_C",1,0.555555555555556,14
"C","Trial 1","6/17/22",3,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low","GR.a_C",2,1.17647058823529,32
"C","Trial 1","6/17/22",3,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low","GW_C",0,0,0
"C","Trial 1","6/17/22",3,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low","RB_C",1,0.504201680672269,10
"C","Trial 1","6/17/22",3,"Peppermint","Constant","Density: High, Number of flowers: Low","Northeast","High","Low","WB_C",0,0,0
